Time,200
12/13/2023 12:51,3.30 K
12/13/2023 12:51,3.31 K
12/13/2023 12:51,3.31 K
12/13/2023 12:51,3.30 K
12/13/2023 12:51,3.30 K
12/13/2023 12:51,3.30 K
12/13/2023 12:51,3.29 K
12/13/2023 12:51,3.29 K
12/13/2023 12:51,3.30 K
12/13/2023 12:51,3.30 K
12/13/2023 12:51,3.30 K
12/13/2023 12:51,3.30 K
12/13/2023 12:51,3.30 K
12/13/2023 12:51,3.30 K
12/13/2023 12:52,3.30 K
12/13/2023 12:52,3.30 K
12/13/2023 12:52,3.32 K
12/13/2023 12:52,3.32 K
12/13/2023 12:52,3.30 K
12/13/2023 12:52,3.30 K
12/13/2023 12:52,3.30 K
12/13/2023 12:52,3.29 K
12/13/2023 12:52,3.29 K
12/13/2023 12:52,2.67 K
12/13/2023 12:52,2.67 K
12/13/2023 12:52,2.67 K
12/13/2023 12:52,2.85 K
12/13/2023 12:52,2.85 K
12/13/2023 12:52,2.90 K
12/13/2023 12:52,2.90 K
12/13/2023 12:52,2.90 K
12/13/2023 12:52,2.95 K
12/13/2023 12:52,2.95 K
12/13/2023 12:52,2.83 K
12/13/2023 12:52,2.83 K
12/13/2023 12:52,2.83 K
12/13/2023 12:52,2.88 K
12/13/2023 12:52,2.88 K
12/13/2023 12:52,2.84 K
12/13/2023 12:52,2.84 K
12/13/2023 12:52,2.84 K
12/13/2023 12:52,2.04 K
12/13/2023 12:52,2.04 K
12/13/2023 12:52,1.23 K
12/13/2023 12:53,1.23 K
12/13/2023 12:53,1.23 K
12/13/2023 12:53,897
12/13/2023 12:53,897
12/13/2023 12:53,847
12/13/2023 12:53,847
12/13/2023 12:53,847
12/13/2023 12:53,1.34 K
12/13/2023 12:53,1.34 K
12/13/2023 12:53,1.19 K
12/13/2023 12:53,1.19 K
12/13/2023 12:53,1.19 K
12/13/2023 12:53,975
12/13/2023 12:53,975
12/13/2023 12:53,2.25 K
12/13/2023 12:53,2.25 K
12/13/2023 12:53,2.25 K
12/13/2023 12:53,2.32 K
12/13/2023 12:53,2.32 K
